Nama Produk;Rating;Review
Mangga Harum Manis ;5;Pengiriman cepet banget mesen siang eh sore pada hari yg sama sampai. Seller komunikatif dan responsif. Mangga manis semua ga ada masalah. 
Mangga Harum Manis ;5;Manis dan ukuran buah besar banget, berkualitas!! (Di foto yg ukuran besar, paling depan) Ga kalah manis sama yg matang pohon, tergantung selera.
Mangga Harum Manis ;5;Mangganya manis dan muluss...puas banget...langganan pastinyaaa...
Mangga Harum Manis ;5;jadi langganan beli disini. mangganya selalu besar2 dan manis
Mangga Harum Manis ;5;Sekian kali beli disini. Buahnya selalu kualitas baguss. Pengiriman cepat. Packing rapiii. Terima kasih seller
Mangga Harum Manis ;5;Seperti biasa selalu yang terbaik, mangga sudah matang dan siap makan. Respon penjual baik. Pengiriman cepat. Terima kasih seller 🙏🏻
Mangga Harum Manis ;5;Enak, manisnya ok, walaupun saya lebih senang yang lebih manis. Lebih suka harum manis matang pohon dan cherry. Untuk harga segini ok lahhhh. Buah fresh banget, baru datang langsung dikirim ke customer, mantap. Lebih enak lagi di diamkan sehari di suhu ruangan, baru masuk kulkas dan disantap.
Mangga Harum Manis ;4;Lumayan.. harus tunggu dulu biar ranum.. gpp.. seller komunikatif .. packingnya agak lama .. terima kasih seller
Mangga Harum Manis ;5;Mangga yg dikasih udh pada mateng hampir kematengan, jadi harus dimakan hari itu juga atau h+1. Mungkin nextnya harus ada mangga yg jgn terlalu mateng dulu yaa
Mangga Harum Manis ;3;Produknya selalu bagus, sehingga sering belanja disini. Tapi kecewa pelayanannya sekarang menurun untuk jadwal pengiriman, minta pagi2 baru dikirim siang. Membalas chat setelah barang dikirim. Mohon ditingkatkan pelayanannya, kalau barang tidak ada di chat saja. Trmksh yaa
Mangga Harum Manis ;5;Beruntung nemu toko mangga disini. Udah kesekian kalinya dan bakal langganan terus. Pengiriman, pengemasan dan respon baik. Kmarin sempat ada mangga yg tidak sesuai permintaan tp selanjutnya diberikan yg bagus. Terimakasih seller untuk pelayanannya.
Mangga Harum Manis ;5;Beruntung nemu toko mangga disini. Udah kesekian kalinya dan bakal langganan terus. Pengiriman, pengemasan dan respon baik. Thanks ya..
Mangga Harum Manis ;5;Sekian kali beli disini. Mangganya juara dehh, kualitas baguss. Pengiriman cepat. Packing rapiii. Terima kasih seller
Mangga Harum Manis ;5;Enak. Manis. pengiriman cepet hari yang sama sorenya langsung sampe. seller responsif sawonya ga ada lgsg nanya mau diganti apa. selalu puas
Mangga Harum Manis ;5;Enakkkkkk manissss...mateng nya pas. Ga kelembekan jd seneng banget.
Mangga Harum Manis ;5;Respon cepat, Pengiriman cepat. Mangga sesuai dengan Pesanan.
Mangga Harum Manis ;4;pas dpt yg kurang bagus layu empuk tp blm mateng jd asam rasanya
Mangga Harum Manis ;5;sudah sampai dan akan dimakan kalau sudah matang, semoga cepat matang dan bisa enak rasanya
Mangga Harum Manis ;5;pembeliaan yang ketigaa..mangganya manis top deh pokoknya
Mangga Harum Manis ;5;Wangi, manis tapi tidak semanis matang pohon.
Mangga Harum Manis ;5;"Mantap buah nya bagus"" gak kecewa,pasti langganan"
Mangga Harum Manis ;5;Mangga Harum Manis dari toko ini benar-benar menggugah selera, manisnya pas banget!
Mangga Harum Manis ;5;Mangga Harum Manis di sini juaranya, matang sempurna dan rasanya lezat.
Mangga Harum Manis ;5;Buah mangga Harum Manis yang dijual di sini sangat segar dan berkualitas.
Mangga Harum Manis ;5;Setiap kali belanja, mangga Harum Manis di sini tidak pernah mengecewakan.
Mangga Harum Manis ;5;Toko ini punya mangga Harum Manis terbaik yang pernah saya coba.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu bikin pengen lagi dan lagi.
Mangga Harum Manis ;5;Kualitas mangga Harum Manis di toko ini selalu terjaga dengan baik.
Mangga Harum Manis ;5;Setiap gigitan mangga Harum Manis di sini penuh dengan cita rasa.
Mangga Harum Manis ;5;Saya suka bagaimana mangga Harum Manis di sini selalu manisnya pas.
Mangga Harum Manis ;5;Mangga Harum Manis dari toko ini adalah yang terbaik di kelasnya.
Mangga Harum Manis ;5;Beli mangga Harum Manis di sini, pasti nggak akan nyesel.
Mangga Harum Manis ;5;Pengiriman cepat dan mangga Harum Manis tetap segar saat sampai.
Mangga Harum Manis ;5;Toko ini punya mangga Harum Manis dengan harga yang sebanding dengan kualitasnya.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu memanjakan lidah saya.
Mangga Harum Manis ;5;Pelayanan ramah dan mangga Harum Manis yang super enak!
Mangga Harum Manis ;5;Setiap kali ke sini, mangga Harum Manis wajib dibeli.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu memuaskan hati dan perut.
Mangga Harum Manis ;5;Rasanya, mangga Harum Manis di sini nggak ada tandingannya.
Mangga Harum Manis ;5;Toko ini adalah tempat favorit untuk beli mangga Harum Manis.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu matang sempurna.
Mangga Harum Manis ;5;Toko ini punya mangga Harum Manis dengan aroma yang bikin nagih.
Mangga Harum Manis ;5;Pilihan terbaik untuk mangga Harum Manis yang berkualitas.
Mangga Harum Manis ;5;Mangga Harum Manis di sini adalah kebahagiaan dalam setiap gigitannya.
Mangga Harum Manis ;5;Saya selalu merekomendasikan toko ini untuk mangga Harum Manis.
Mangga Harum Manis ;5;Beli mangga Harum Manis di sini, pasti puas dengan kualitasnya.
Mangga Harum Manis ;5;Mangga Harum Manis di toko ini selalu fresh dan legit.
Mangga Harum Manis ;5;Toko ini punya mangga Harum Manis yang bikin ketagihan.
Mangga Harum Manis ;5;Rasanya, mangga Harum Manis di sini bikin nagih banget!
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu manisnya pas di lidah.
Mangga Harum Manis ;5;Saya sangat puas dengan mangga Harum Manis dari toko ini.
Mangga Harum Manis ;5;Mangga Harum Manis di sini selalu memberi kepuasan tiada tara.
Mangga Harum Manis ;5;Beli mangga Harum Manis di sini, pasti nggak rugi.
